name,expiration,type,strike,computed_prices
AMZN190215C01680000,2019-02-15,C,1680.00,6.48
AMZN190215C01685000,2019-02-15,C,1685.00,5.79
AMZN190215P01685000,2019-02-15,P,1685.00,45.79
AMZN190215C01690000,2019-02-15,C,1690.00,5.03
AMZN190215P01690000,2019-02-15,P,1690.00,45.78
AMZN190215P01695000,2019-02-15,P,1695.00,43.18
AMZN190215C01695000,2019-02-15,C,1695.00,4.41
AMZN190215C01700000,2019-02-15,C,1700.00,3.81
AMZN190215P01700000,2019-02-15,P,1700.00,60.91
AMZN190215P01705000,2019-02-15,P,1705.00,64.03
AMZN190215C01705000,2019-02-15,C,1705.00,3.33
AMZN190215P01710000,2019-02-15,P,1710.00,71.92
AMZN190215C01710000,2019-02-15,C,1710.00,2.94
AMZN190215C01715000,2019-02-15,C,1715.00,2.61
AMZN190215P01715000,2019-02-15,P,1715.00,71.15
AMZN190215P01720000,2019-02-15,P,1720.00,78.29
AMZN190215C01720000,2019-02-15,C,1720.00,2.22
AMZN190215C01725000,2019-02-15,C,1725.00,1.95
AMZN190215P01725000,2019-02-15,P,1725.00,81.16
AMZN190315C01555000,2019-03-15,C,1555.00,93.24
AMZN190315P01555000,2019-03-15,P,1555.00,28.75
AMZN190315P01560000,2019-03-15,P,1560.00,30.07
AMZN190315C01560000,2019-03-15,C,1560.00,95.20
AMZN190315P01565000,2019-03-15,P,1565.00,31.22
AMZN190315C01570000,2019-03-15,C,1570.00,81.49
AMZN190315P01570000,2019-03-15,P,1570.00,33.01
AMZN190315P01575000,2019-03-15,P,1575.00,33.33
AMZN190315P01580000,2019-03-15,P,1580.00,34.72
AMZN190315C01585000,2019-03-15,C,1585.00,75.35
AMZN190315P01585000,2019-03-15,P,1585.00,35.16
AMZN190315C01590000,2019-03-15,C,1590.00,73.14
AMZN190315P01590000,2019-03-15,P,1590.00,37.43
AMZN190315P01595000,2019-03-15,P,1595.00,38.95
AMZN190315C01595000,2019-03-15,C,1595.00,68.33
AMZN190315P01600000,2019-03-15,P,1600.00,39.75
AMZN190315C01600000,2019-03-15,C,1600.00,66.99
AMZN190315C01605000,2019-03-15,C,1605.00,64.21
AMZN190315P01605000,2019-03-15,P,1605.00,38.23
AMZN190315C01610000,2019-03-15,C,1610.00,60.91
AMZN190315P01610000,2019-03-15,P,1610.00,36.06
AMZN190315P01615000,2019-03-15,P,1615.00,42.45
AMZN190315C01615000,2019-03-15,C,1615.00,70.77
AMZN190315C01620000,2019-03-15,C,1620.00,58.05
AMZN190315P01620000,2019-03-15,P,1620.00,45.36
AMZN190315P01625000,2019-03-15,P,1625.00,46.41
AMZN190315C01625000,2019-03-15,C,1625.00,53.33
AMZN190315P01630000,2019-03-15,P,1630.00,48.47
AMZN190315C01630000,2019-03-15,C,1630.00,52.00
AMZN190315C01635000,2019-03-15,C,1635.00,49.30
AMZN190315P01635000,2019-03-15,P,1635.00,50.82
AMZN190315P01640000,2019-03-15,P,1640.00,52.20
AMZN190315C01640000,2019-03-15,C,1640.00,47.11
AMZN190315C01645000,2019-03-15,C,1645.00,44.43
AMZN190315P01645000,2019-03-15,P,1645.00,54.36
AMZN190315C01650000,2019-03-15,C,1650.00,41.90
AMZN190315P01650000,2019-03-15,P,1650.00,56.36
AMZN190315P01655000,2019-03-15,P,1655.00,58.48
AMZN190315C01655000,2019-03-15,C,1655.00,40.03
AMZN190315C01660000,2019-03-15,C,1660.00,37.97
AMZN190315P01660000,2019-03-15,P,1660.00,60.22
AMZN190315P01665000,2019-03-15,P,1665.00,62.19
AMZN190315C01665000,2019-03-15,C,1665.00,36.59
AMZN190315P01670000,2019-03-15,P,1670.00,64.61
AMZN190315C01670000,2019-03-15,C,1670.00,34.81
AMZN190315C01675000,2019-03-15,C,1675.00,32.42
AMZN190315P01675000,2019-03-15,P,1675.00,65.88
AMZN190315C01680000,2019-03-15,C,1680.00,31.26
AMZN190315P01680000,2019-03-15,P,1680.00,71.53
AMZN190315P01685000,2019-03-15,P,1685.00,71.21
AMZN190315C01685000,2019-03-15,C,1685.00,30.65
AMZN190315P01690000,2019-03-15,P,1690.00,72.08
AMZN190315C01690000,2019-03-15,C,1690.00,28.18
AMZN190315C01695000,2019-03-15,C,1695.00,26.57
AMZN190315P01695000,2019-03-15,P,1695.00,79.90
AMZN190315P01700000,2019-03-15,P,1700.00,82.28
AMZN190315C01700000,2019-03-15,C,1700.00,24.23
AMZN190315C01705000,2019-03-15,C,1705.00,23.17
AMZN190315P01705000,2019-03-15,P,1705.00,88.95
AMZN190315C01710000,2019-03-15,C,1710.00,21.84
AMZN190315P01715000,2019-03-15,P,1715.00,95.14
AMZN190315C01715000,2019-03-15,C,1715.00,20.04
AMZN190315C01720000,2019-03-15,C,1720.00,19.33
