,name,delta_analytical,delta_estimated,gamma_analytical,gamma_estimated,vega_analytical,vega_estimated
42,AMZN190315C01615000,0.5873686213346407,0.5873698682989925,0.0022086017457860884,-45.47473508864642,203.3257980798606,15.068822989405817
43,AMZN190315C01620000,0.5824849524565614,0.5824853133162833,0.0026029818012497895,11.368683772161605,203.87290393042232,17.27107516558135
44,AMZN190315C01625000,0.5706868862548828,0.5706874617317226,0.0027282577080204656,0.0,205.06312429436767,11.978537202139705
45,AMZN190315C01630000,0.5565435254365977,0.5565442506849649,0.0026988469979572017,-11.368683772161605,206.24602162214543,5.547686185991552
46,AMZN190315C01635000,0.5430193120527806,0.5430200644696015,0.0027336088097485835,34.106051316484816,207.1296898429422,1.5777823136886582
47,AMZN190315C01640000,0.5293000327098007,0.5292992000249797,0.002744667844361415,-11.368683772161605,207.78001473940682,-0.8179996768831188
48,AMZN190315C01645000,0.5153694293877497,0.5153714255357045,0.002779901554936764,11.368683772161605,208.18754222508483,-1.4284222515925649
49,AMZN190315C01650000,0.5012060366479403,0.5012060455555911,0.002808649853133705,-34.106051316484816,208.3412210990745,-0.19352981439624273
50,AMZN190315C01655000,0.48732697429482724,0.48732715640653623,0.0028037967483381956,-11.368683772161605,208.23704371538358,2.87838346935132
51,AMZN190315C01660000,0.4732554500386468,0.4732561365017318,0.0028084950643426938,-11.368683772161605,207.87383399818066,7.887770578918207
52,AMZN190315C01665000,0.46000449936402876,0.46000593556527747,0.0027787931053991507,-34.106051316484816,207.29428771821335,14.270627417545256
53,AMZN190315C01670000,0.446291580067992,0.4462918923309189,0.0027697702949733122,-11.368683772161605,206.45126664048988,22.650713304983583
54,AMZN190315C01675000,0.4313654447998829,0.43136651584063657,0.002791409408413645,0.0,205.25123695231446,34.057233335715864
55,AMZN190315C01680000,0.41875386293638744,0.4187540980638005,0.002750497822683222,0.0,204.00660897114776,44.87092624572142
56,AMZN190315C01685000,0.4076930687337406,0.40769350562186446,0.0026839012262453673,22.73736754432321,202.74003973465273,54.974898375803605
57,AMZN190315C01690000,0.3921114079157646,0.3921121560779284,0.002707077480204407,-11.368683772161605,200.67627671025605,72.85122364919516
58,AMZN190315C01695000,0.37851679772191876,0.37851748402317753,0.0026888096587191677,34.106051316484816,198.606256023441,89.75300090696692
59,AMZN190315C01700000,0.3622666511916308,0.36226708743924974,0.0027056134845870983,-11.368683772161605,195.79859639745095,113.60955610939527
60,AMZN190315C01705000,0.350222517359292,0.35022310385102173,0.0026597006175249336,-11.368683772161605,193.48057783749564,131.06269221907496
61,AMZN190315C01710000,0.3372142740764661,0.3372150558789144,0.0026266869622784683,-11.368683772161605,190.74721522276818,151.92793441087815
62,AMZN190315C01715000,0.3220300204547881,0.3220304733986268,0.00261448480896034,0.0,187.25027319937055,179.76118371620942
63,AMZN190315C01720000,0.31160817110213623,0.31160823255049763,0.0025536221063870374,22.73736754432321,184.65613743372597,196.98879953011783
64,AMZN190315C01725000,0.29905760283335414,0.2990574898831255,0.0025133489476891696,-17.053025658242408,181.31897972388765,220.88579285650667
65,AMZN190418C01555000,0.6992482788170276,0.699247379998269,0.0016780659056713533,11.368683772161605,251.81523325679933,181.51794577647706
66,AMZN190418C01565000,0.6819386814583983,0.6819402642577188,0.0017274344050483667,22.73736754432321,258.0460959727788,148.52422509648022
